Country Name,Region,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
United States,NA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.457975986,1.070724148,1.198773348,1.239669421,1.278911565,1.585169264,3.015075377,2.772785623,4.271796153,5.4623862,5.838255338,4.292766688,3.272278247,6.177760064,11.0548048,9.143146865,5.744812635,6.501683995,7.630963839,11.25447113,13.54920197,10.33471534,6.131427,3.212435233,4.300535475,3.545644152,1.898047722,3.664563218,4.077741107,4.82700303,5.39795644,4.234963965,3.028819678,2.951656966,2.607441592,2.805419689,2.9312042,2.337689937,1.552279099,2.188027197,3.376857271,2.826171119,1.586031627,2.270094973,2.677236693,3.392746845,3.225944101,2.852672482,3.839100297,-0.355546266,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864
United States,NA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,0.618121193,4.480669354,2.908271948,4.340548963,5.07809761,5.277113858,1.389951286,3.758819368,2.097369706,-1.438450533,1.995600235,4.138096775,4.642155744,-1.445134344,-1.184581412,4.391462867,3.577146706,4.422984607,2.033887065,-1.209298263,1.536320281,-2.734569731,3.631979296,6.312167656,3.250656423,2.510885967,2.538623537,3.235416109,2.698166672,0.7414861,-1.434200125,2.096612766,1.405708565,2.760882297,1.468718234,2.572259204,3.197212055,3.270511073,3.597985018,2.925440983,-0.039919729,0.756774051,1.916480451,2.895847779,2.533784114,1.796486326,1.044930137,-0.820367899,-3.450015923,1.860291678,0.814519358,1.533102035,1.138692347,1.540380649,1.953004118,0.933375362,1.59713559,2.404867872,1.829668388,-3.697922096,5.820140176
United States,NA,GDP per capita (current US$),NY.GDP.PCAP.CD,3007.123445,3066.562869,3243.843078,3374.515171,3573.941185,3827.52711,4146.316646,4336.426587,4695.92339,5032.144743,5234.296666,5609.3826,6094.01799,6726.358956,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18187,12574.79151,13976.10539,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.13898,32853.67695,34515.39023,36329.95607,37133.62311,37997.75966,39490.27496,41724.63163,44123.40707,46302.00088,48050.22378,48570.04598,47194.94335,48650.64313,50065.9665,51784.41857,53291.12769,55123.84979,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63530.63348,70248.629
United States,NA,Lending interest rate (%),FR.INR.LEND,4.820833333,4.5,4.5,4.5,4.5,4.535,5.625,5.633333333,6.3125,7.951666667,7.91,5.723333333,5.248333333,8.021666667,10.79833333,7.8625,6.84,6.824166667,9.056666667,12.66583333,15.26583333,18.87,14.86083333,10.79416667,12.0425,9.933333333,8.3325,8.203333333,9.315,10.87333333,10.00916667,8.463333333,6.251666667,6,7.138333333,8.829166667,8.270833333,8.441666667,8.354166667,7.994166667,9.233333333,6.921666667,4.675,4.1225,4.34,6.189166667,7.9575,8.05,5.0875,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.511666667,4.096666667,4.904166667,5.2825,3.544166667,3.25
United States,NA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.5,6.699999809,5.5,5.699999809,5.199999809,4.5,3.799999952,3.799999952,3.599999905,3.5,4.900000095,5.900000095,5.599999905,4.900000095,5.599999905,8.5,7.699999809,7.099999905,6.099999905,5.800000191,7.099999905,7.599999905,9.699999809,9.600000381,7.5,7.199999809,7,6.199999809,5.5,5.300000191,5.599999905,6.800000191,7.5,6.900000095,6.119999886,5.650000095,5.449999809,5,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.369999886,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191,5.349999905
United States,NA,Consumer price index (2010 = 100),FP.CPI.TOTL,13.56306078,13.70828375,13.872615,14.04458957,14.22420745,14.44968521,14.88535411,15.29809307,15.95159642,16.82293422,17.80510008,18.56943148,19.17707495,20.36178863,22.61274461,24.68026107,26.09809582,27.79491154,29.91593119,33.28281103,37.79236632,41.6980998,44.25478835,45.67644476,47.64077647,49.32994887,50.26625484,52.10829353,54.23313484,56.8509699,59.91976049,62.45734075,64.34906098,66.24842452,67.9758135,69.88282035,71.93122852,73.61275761,74.75543306,76.39110227,78.97072076,81.20256846,82.49046688,84.36307882,86.62167812,89.56053237,92.44970508,95.08699238,98.73747739,98.38641997,100,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089,112.4115573,115.1573032,117.2441955,118.6905016,124.2664138
Mexico,NA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.927518869,1.608759691,1.198984178,0.594055008,2.337903172,3.568038657,4.215788377,3.016948475,2.333950935,3.367003367,5.003412055,5.469028994,4.943692364,12.08193946,23.78401544,14.94453464,15.82472249,29.06412471,17.45729257,18.1912463,26.35165136,27.9337626,58.91341985,101.8749384,65.44880713,57.7484484,86.23331699,131.8273839,114.1622585,20.00787671,26.65167256,22.66235946,15.50789625,9.751460454,6.965812372,34.99927129,34.37838322,20.62562873,15.92839501,16.58561697,9.491561494,6.367738062,5.030727332,4.546900121,4.688408848,3.988057146,3.629467624,3.966849055,5.124982746,5.297355842,4.156727227,3.407378246,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,3.396834156,5.689208477
Mexico,NA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,1.715150814,1.298646228,4.594991723,8.245786588,3.581338994,2.632209062,2.431623403,5.912633025,0.140651623,3.167141922,0.546748746,4.902185723,4.570756505,2.586246572,2.598733437,1.376319438,0.385088789,5.793969245,6.623838778,6.438459835,6.129515856,-2.524299807,-5.392485809,1.42765865,0.301015177,-4.79851115,-0.020915331,-0.435148135,2.364572341,3.262383815,2.175301736,1.541296126,-0.006270426,2.961455844,-8.015167908,4.888150731,5.016207262,3.405938323,1.081584708,3.292692409,-1.928316581,-1.54819791,-0.051364985,2.404486778,0.855708709,3.0830097,0.953870185,-0.130355618,-6.449903052,3.732851948,2.193587578,2.204898981,0.02784915,1.580820663,2.094717824,1.474053227,1.015816185,1.227050123,-1.053918176,-8.654637261,4.136372212
Mexico,NA,GDP per capita (current US$),NY.GDP.PCAP.CD,359.5450597,378.2120277,392.9345914,424.189634,485.80005,511.020745,550.4698833,581.7294506,622.4250634,666.7433859,706.3131871,755.3324884,844.1744381,1000.937872,1264.35837,1499.355567,1472.658876,1314.019718,1598.465548,2039.646264,3029.887355,3812.580776,2612.759171,2166.461251,2507.312061,2607.380251,1765.184878,1902.438068,2302.027017,2759.445651,3196.918925,3756.889937,4272.785965,5778.938722,5976.523587,4002.174304,4487.291779,5370.217511,5555.737246,6230.695571,7232.878809,7613.176932,7650.89885,7120.38477,7525.465234,8321.853493,9125.422624,9719.920452,10119.83621,8104.907579,9399.970908,10341.52105,10376.05767,10865.6802,11076.09245,9753.380048,8875.062256,9434.386487,9857.028829,10145.17018,8655.000682,10045.6805
Mexico,NA,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.225,19.3,59.43166667,36.38583333,22.14,26.35833333,23.7425,16.92833333,12.795,8.210833333,7.0225,7.438333333,9.695,7.511834781,7.560833333,8.705767857,7.065,5.280833333,4.910833333,4.680833333,4.270833333,3.551666667,3.439166667,4.754166667,7.3325,8.04,8.429166667,6.341666667,4.891666667
